img,class
animals10/raw-img/spiders/OIP-KYg1du1AQabJbrwIo0KXxgAAAA.jpeg,8
animals10/raw-img/spiders/OIP-3MnDrWTOQ0Zfie6xYnfz-wHaEK.jpeg,8
animals10/raw-img/squirrel/OIP-SewZcKJ0pA6b3cLOw39NfQHaFj.jpeg,9
animals10/raw-img/cat/ea37b7082dfd033ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg,1
animals10/raw-img/spiders/OIP-zR5gDXThMuci-Yhhs96S0gEsEr.jpeg,8
animals10/raw-img/dog/OIP-BnI-pDSPZ7rv8sBxtc7AxAHaNK.jpeg,4
animals10/raw-img/cow/OIP-rp3lhaiomNstxHUCj1PKbwHaE7.jpeg,3
animals10/raw-img/horse/OIP-IE49Vn0qNfWQncEZqcoT2AAAAA.jpeg,6
animals10/raw-img/squirrel/OIP--XmIansx_gWvTo4n_HN5KwHaFj.jpeg,9
animals10/raw-img/butterfly/OIP-0L057N-wdtn52ZteWKt5CQHaFj.jpeg,0
animals10/raw-img/cat/72.jpeg,1
animals10/raw-img/sheep/OIP-oHRr3cjAFT82F4-30iDHFAHaE7.jpeg,7
animals10/raw-img/horse/OIP-9Y54SI9pc1FEE_WhPcG1ywHaFF.jpeg,6
animals10/raw-img/butterfly/OIP-6vAWvz11xhDhND0t2wYjFAHaFj.jpeg,0
animals10/raw-img/horse/OIP-GHylRurBEVvG7NLYX2zOmwAAAA.jpeg,6
animals10/raw-img/dog/OIP-yL0XrlEm6DPqAbSLO2X3EAHaHa.jpeg,4
animals10/raw-img/sheep/ea36b3082ff2063ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.jpg,7
animals10/raw-img/squirrel/OIP-4n17Bg51U7_oOdY2lMpCxwHaJh.jpeg,9
animals10/raw-img/sheep/OIP-6TDg_5QcVnlPztByquEB5AHaE7.jpeg,7
animals10/raw-img/squirrel/OIP-O7Gmsk2HZI3WekPz8gkumwHaE7.jpeg,9
animals10/raw-img/sheep/OIP-yFCsrW17X-oilPwJNdLiOgHaFj.jpeg,7
animals10/raw-img/spiders/OIP-EIx8WI_hmZ1NaXKPbp3BLAHaE8.jpeg,8
